candle_begin_time,open,high,low,close,signal,pos,b_bar_quote_volume,kline_pct,r_line_equity_curve
2024-12-07 03:00:00,0.0215376,0.0215527,0.0212522,0.0213255,,0.0,41586106.1211714,[-0.0098433],4.435364775528462
2024-12-07 04:00:00,0.0213256,0.0214146,0.0212,0.0212355,,0.0,36928570.6386019,[-0.0042203],4.435364775528462
2024-12-07 05:00:00,0.0212354,0.0213288,0.0211161,0.0211599,,0.0,26988552.6811553,[-0.00356008],4.435364775528462
2024-12-07 06:00:00,0.0211599,0.0213424,0.0211461,0.0213152,,0.0,35175441.233108796,[0.00733935],4.435364775528462
2024-12-07 07:00:00,0.0213152,0.0216412,0.0212945,0.021622,,0.0,85391204.8384003,[0.01439348],4.435364775528462
2024-12-07 08:00:00,0.0216221,0.0218417,0.0215328,0.0217406,,0.0,59830982.7874375,[0.00548515],4.435364775528462
2024-12-07 09:00:00,0.0217406,0.022134,0.0217009,0.0221165,,0.0,82002910.7764192,[0.01729023],4.435364775528462
2024-12-07 10:00:00,0.0221165,0.022549,0.0218523,0.0225145,,0.0,117234222.1505762,[0.01799561],4.435364775528462
2024-12-07 11:00:00,0.0225145,0.0229593,0.0224065,0.0224286,,0.0,162643504.500749,[-0.00381532],4.435364775528462
2024-12-07 12:00:00,0.0224299,0.0224729,0.0220771,0.0222243,,0.0,91207402.2181671,[-0.00910891],4.435364775528462
2024-12-07 13:00:00,0.0222244,0.0223664,0.0220366,0.0222375,,0.0,48340421.9723719,[0.00059394],4.435364775528462
2024-12-07 14:00:00,0.0222376,0.02251,0.0220679,0.0224919,,0.0,66454024.3151673,[0.01144013],4.435364775528462
2024-12-07 15:00:00,0.0224888,0.0228,0.0223378,0.0227018,,0.0,86384168.0695062,[0.00933225],4.435364775528462
2024-12-07 16:00:00,0.0227024,0.0237292,0.0226035,0.0235496,,0.0,260328978.7315393,[0.03734506],4.435364775528462
2024-12-07 17:00:00,0.0235496,0.0245534,0.0233491,0.0243328,,0.0,310730684.0394035,[0.03325747],4.435364775528462
2024-12-07 18:00:00,0.0243324,0.025053,0.0240833,0.0245105,,0.0,291177933.9961479,[0.0073029],4.435364775528462
2024-12-07 19:00:00,0.0245112,0.0268754,0.0242251,0.0265183,,0.0,455088648.0042182,[0.08191591],4.435364775528462
2024-12-07 20:00:00,0.0265157,0.02699,0.0256301,0.0261045,,0.0,331207072.7283128,[-0.01560432],4.435364775528462
2024-12-07 21:00:00,0.0261044,0.0263222,0.0256366,0.0261392,,0.0,150177988.0692392,[0.00132927],4.435364775528462
2024-12-07 22:00:00,0.0261393,0.0262379,0.0251627,0.025186,,0.0,128467385.0468438,[-0.0364663],4.435364775528462
2024-12-07 23:00:00,0.0251859,0.025512,0.0249133,0.0249312,,0.0,141582908.2568828,[-0.01011673],4.435364775528462
2024-12-08 00:00:00,0.0249313,0.0252368,0.0243261,0.0246866,,0.0,170088926.7631857,[-0.009811],4.435364775528462
2024-12-08 01:00:00,0.0246866,0.0255086,0.0246802,0.0254871,,0.0,156997516.6027945,[0.0324265],4.435364775528462
2024-12-08 02:00:00,0.025487,0.0259069,0.0251888,0.0258076,,0.0,111890246.0037775,[0.01257499],4.435364775528462
2024-12-08 03:00:00,0.0258077,0.02638,0.0257174,0.0260222,,0.0,193224613.2785909,[0.00831538],4.435364775528462
2024-12-08 04:00:00,0.0260222,0.0263658,0.025705,0.0257759,,0.0,155380614.2316762,[-0.009465],4.435364775528462
2024-12-08 05:00:00,0.0257736,0.0259999,0.0250368,0.0253537,,0.0,183537293.8532247,[-0.01637964],4.435364775528462
2024-12-08 06:00:00,0.0253536,0.025648,0.0250683,0.0254836,,0.0,103897252.8994199,[0.00512351],4.435364775528462
2024-12-08 07:00:00,0.0254837,0.0256159,0.0252693,0.0253204,,0.0,66115519.5130891,[-0.00640412],4.435364775528462
2024-12-08 08:00:00,0.0253205,0.0254568,0.0243508,0.024353,,0.0,179970554.795222,[-0.03820635],4.435364775528462
2024-12-08 09:00:00,0.0243531,0.024759,0.0242096,0.0243974,,0.0,121633810.39654149,[0.00182318],4.435364775528462
2024-12-08 10:00:00,0.024398,0.0250307,0.0243293,0.0249636,,0.0,116192735.96924,[0.02320739],4.435364775528462
2024-12-08 11:00:00,0.0249614,0.0254,0.0248472,0.0251941,,0.0,112440202.46703151,[0.00923344],4.435364775528462
2024-12-08 12:00:00,0.0251941,0.0258702,0.02506,0.0256858,,0.0,148906425.8760467,[0.01951647],4.435364775528462
2024-12-08 13:00:00,0.0256858,0.0256874,0.0251689,0.0253163,,0.0,105200284.973307,[-0.01438538],4.435364775528462
2024-12-08 14:00:00,0.0253163,0.02533,0.0248741,0.0249249,,0.0,96401981.6787018,[-0.0154604],4.435364775528462
2024-12-08 15:00:00,0.0249259,0.0255601,0.0245563,0.0254433,,0.0,189202950.5388015,[0.02079848],4.435364775528462
2024-12-08 16:00:00,0.0254436,0.0272,0.0253305,0.0264695,,0.0,543119054.9999387,[0.04033282],4.435364775528462
2024-12-08 17:00:00,0.026469,0.02698,0.0259214,0.0266012,,0.0,286987508.0590161,[0.00497554],4.435364775528462
2024-12-08 18:00:00,0.0266012,0.0266338,0.025938,0.0264279,,0.0,172118916.9255999,[-0.00651474],4.435364775528462
2024-12-08 19:00:00,0.0264279,0.0266505,0.0260832,0.0265443,,0.0,104873540.6377719,[0.00440444],4.435364775528462
2024-12-08 20:00:00,0.0265444,0.02696,0.0264168,0.0264277,,0.0,122913102.9173574,[-0.00439266],4.435364775528462
2024-12-08 21:00:00,0.0264277,0.0264897,0.02603,0.0261592,,0.0,126409461.97453061,[-0.01015979],4.435364775528462
2024-12-08 22:00:00,0.0261591,0.026471,0.0259042,0.0264418,,0.0,84861585.41233501,[0.01080308],4.435364775528462
2024-12-08 23:00:00,0.0264417,0.0266913,0.0260873,0.0264459,,0.0,97739847.2600418,[0.00015506],4.435364775528462
2024-12-09 00:00:00,0.0264459,0.0268998,0.02582,0.0267925,,0.0,231709371.2346881,[0.013106],4.435364775528462
2024-12-09 01:00:00,0.0267926,0.0275567,0.0262875,0.0264491,,0.0,375053725.0392824,[-0.01281702],4.435364775528462
2024-12-09 02:00:00,0.0264482,0.0269816,0.0262315,0.026821,,0.0,142882592.3328535,[0.01406097],4.435364775528462
2024-12-09 03:00:00,0.0268174,0.027,0.026,0.0262466,,0.0,183098464.125538,[-0.02141605],4.435364775528462
2024-12-09 04:00:00,0.0262466,0.0273193,0.0262144,0.0271788,,0.0,199862036.8390329,[0.03551698],4.435364775528462
2024-12-09 05:00:00,0.0271789,0.0271902,0.0263,0.0264122,,0.0,136703829.6765118,[-0.02820581],4.435364775528462
2024-12-09 06:00:00,0.0264123,0.0265873,0.02592,0.0262132,,0.0,151324797.5212711,[-0.0075344],4.435364775528462
2024-12-09 07:00:00,0.026211,0.0263492,0.0254003,0.026154,,0.0,248910890.2134958,[-0.0022584],4.435364775528462
2024-12-09 08:00:00,0.0261544,0.0263257,0.0251571,0.0252987,,0.0,183465461.18078628,[-0.03270245],4.435364775528462
2024-12-09 09:00:00,0.0252973,0.0257065,0.024768,0.0249818,,0.0,225296983.8576799,[-0.01252634],4.435364775528462
2024-12-09 10:00:00,0.0249818,0.025587,0.0248,0.0254739,,0.0,122555242.5730297,[0.01969834],4.435364775528462
2024-12-09 11:00:00,0.0254752,0.0254752,0.0244822,0.0245636,,0.0,168155559.7931202,[-0.03573461],4.435364775528462
2024-12-09 12:00:00,0.0245641,0.0251661,0.024386,0.0250109,,0.0,173017036.8589975,[0.01820987],4.435364775528462
2024-12-09 13:00:00,0.0250109,0.0262343,0.0247671,0.0259898,,0.0,244381494.7707651,[0.03913894],4.435364775528462
2024-12-09 14:00:00,0.0259879,0.0272,0.0257373,0.0269596,,0.0,270535270.6540561,[0.03731464],4.435364775528462
2024-12-09 15:00:00,0.0269622,0.027405,0.02632,0.0269583,,0.0,516196723.5514129,[-4.82203e-05],4.435364775528462
2024-12-09 16:00:00,0.0269529,0.0283795,0.0264411,0.027304,,0.0,541253108.4339854,[0.01282351],4.435364775528462
2024-12-09 17:00:00,0.027304,0.0279998,0.02712,0.0272759,,0.0,244396225.6767006,[-0.00102915],4.435364775528462
2024-12-09 18:00:00,0.0272779,0.027864,0.0271111,0.0274897,,0.0,154951458.3056353,[0.00783842],4.435364775528462
